Cover,Name,Status,Location,Other-Data
covers/12AngryMen.png,12 Angry Men 1957,watched,disk-01,na
/covers/964pinocchio.jpg,964 Pinocchio (1991) [1080p] [BluRay] [YTS.MX],na,disk-01,na
/covers/scanner.jpg,A Scanner Darkly (2006) (1080p BluRay x265 HEVC 10bit AAC 5.1 FreetheFish),na,disk-01,na
/covers/romulus.jpg,Alien Romulus (2024) [1080p] [WEBRip] [5.1] [YTS.MX],na,disk-01,na
/covers/alphaville.jpg,Alphaville (1965) [1080p] [BluRay] [YTS.MX],na,disk-01,na
image1.jpg,Andrei Rublev (1966) Criterion (1080p BluRay x265 HEVC 10bit AAC 1.0 Russian Tigole),na,disk-01,na
image1.jpg,Andrei.Rublev.1966.RUSSIAN.CRITERION.1080p.BluRay.x265-VXT,na,disk-01,na
image1.jpg,Apocalypse.Now.1979.THEATRiCAL.1080p.BluRay.x264-SADPANDA[rarbg],na,disk-01,na
image1.jpg,Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX],na,disk-01,na
image1.jpg,Beyond the Time Barrier [1960 - USA] sci fi,na,disk-01,na
image1.jpg,Blow Out (1981) [BluRay] [1080p] [YTS.AM],na,disk-01,na
image1.jpg,Cat People (1942) Criterion (1080p BluRay x265 HEVC 10bit AAC 1.0 Tigole),na,disk-01,na
image1.jpg,Children of Men (2006) [1080p],na,disk-01,na
image1.jpg,Chinatown.1974.4K.HDR10+.2160p.WEBDL  Ita Eng  x265-NAHOM,na,disk-01,na
image1.jpg,Crimes.of.the.Future.2022.WEB-DL.2160p.HDR.seleZen,na,disk-01,na
image1.jpg,Cure (1997) [BluRay] [1080p] [YTS.AM],na,disk-01,na
image1.jpg,Dare to Stop Us 2018,na,disk-01,na
image1.jpg,Dead Ringers (1988) (1080p BluRay x265 HEVC 10bit AAC 5.1 Tigole),na,disk-01,na
image1.jpg,Decoder (1984) [1080p],na,disk-01,na
image1.jpg,Dr. Strangelove Or How I Learned To Stop Worrying And Love The Bomb (1964) [BluRay] [1080p] [YTS.AM],na,disk-01,na
image1.jpg,Eastern Promises (2007) [1080p],na,disk-01,na
image1.jpg,Enter.The.Void.LIMITED.2009.1080p.BluRay.x264.anoXmous,na,disk-01,na
image1.jpg,Exodus Gods and Kings (2014) [1080p],na,disk-01,na
image1.jpg,Fallen Angels (1995) [1080p] [BluRay] [5.1] [YTS.MX],na,disk-01,na
image1.jpg,Fellini Satyricon (1969) Criterion (1080p BluRay x265 HEVC 10bit AAC 1.0 Italian Tigole),na,disk-01,na
image1.jpg,Frankenstein 1931 Restored.1080p.BluRay.x265.hevc.10bit.AAC.2.0.commentary-HeVK,na,disk-01,na
image1.jpg,Ghostwatch (1992) [1080p] [BluRay] [YTS.MX],na,disk-01,na
image1.jpg,Gladiator (2000),na,disk-01,na
image1.jpg,Go.Seppuku.Yourselves.2021.SUBBED.1080p.WEB-DL.x264.AAC.HORiZON-ArtSubs,na,disk-01,na
image1.jpg,Harrison Bergeron (1995)(TV),na,disk-01,na
image1.jpg,Heisei Gamera Trilogy,na,disk-01,na
image1.jpg,Hell (Japan - 1999 - Jigoku - 地獄) cult horror,na,disk-01,na
image1.jpg,Hero.2002.DC.CHINESE.1080p.BluRay.H264.AAC-VXT,na,disk-01,na
image1.jpg,High.Life.2018.1080p.BluRay.X264-AMIABLE[rarbg],na,disk-01,na
image1.jpg,High-Rise (2015) (1080p BluRay x265 HEVC 10bit AAC 5.1 Tigole),na,disk-01,na
image1.jpg,House of Usher 1960,na,disk-01,na
image1.jpg,Im Still Here (2010) [1080p] [BluRay] [5.1] [YTS.MX],na,disk-01,na
image1.jpg,In the Realm of the Senses (1976) Criterion (1080p BluRay x265 HEVC 10bit AAC 1.0 Japanese Tigole),na,disk-01,na
image1.jpg,Into.a.Dream.2005.480p.AMZN.WEB-DL.DD+2.0.H.264-ARiN,na,disk-01,na
image1.jpg,Isle.of.the.Dead.1945.1080p.BluRay.x265-RARBG,na,disk-01,na
image1.jpg,Karnan (2021) (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 5.1 Tamil Bandi),na,disk-01,na
image1.jpg,Knight of Cups (2015) (1080p BluRay x265 HEVC 10bit AAC 5.1 Tigole),na,disk-01,na
image1.jpg,Koyaanisqatsi (1982) Criterion (1080p BluRay x265 HEVC 10bit AAC 5.1 Silence),na,disk-01,na
image1.jpg,Last.Night.in.Soho.2021.1080p.AMZN.WEBRip.DDP5.1.x264-NOGRP,na,disk-01,na
image1.jpg,Le Samouraï (1967) [1080p] [BluRay] [YTS.MX],na,disk-01,na
image1.jpg,Licorice.Pizza.2021.1080p.WEBRip.x265-RARBG,na,disk-01,na
image1.jpg,Little Buddha (1993) [1080p],na,disk-01,na
image1.jpg,Long Day's Journey Into Night (2018) [1080p] [BluRay] [5.1] [YTS.MX],na,disk-01,na
image1.jpg,Loro.2018.iTALiAN.Bluray.1080p.x264-CYBER,na,disk-01,na
image1.jpg,Macbeth (1971) Criterion (1080p BluRay x265 HEVC 10bit AAC 3.0 Tigole),na,disk-01,na
